family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,earliest_available_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_energy_rate_cagr_10yr,blended_energy_rate_cagr_10yr_needs_review,years_of_available_history,status,reason
539f6a0bec4f024411ec8b47,"Time-of-use - General Service - Demand Metered: TOU-GS-3, Option R (2kV to 50kV)",Southern California Edison Co,539f6a0bec4f024411ec8b47,"Time-of-use - General Service - Demand Metered: TOU-GS-3, Option R (2kV to 50kV)",2014-01-01 08:00:00+00:00,2014-01-01 08:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6a24ec4f024411ec8c0b,Schedule NM Flat Rate Service-0 - 200 watts(Summer),Turlock Irrigation District,5b4f73f55457a33d24c6d675,Schedule NM Flat Rate Service-0 - 200 watts(Summer),2015-01-01 08:00:00+00:00,2009-02-01 13:00:00+00:00,,,,,,,False,5.9110198494182065,excluded,only 5.9 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6a7fec4f024411ec9049,A Primary (CLOSED Rate),San Diego Gas & Electric Co,5878fdcc5457a34c6adda4d6,A Primary (CLOSED Rate),2017-01-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,2.9979466119096507,excluded,only 3.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6a8eec4f024411ec912f,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (2kV-50kV)",Southern California Edison Co,6757449af750fb7a31058c6e,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (2kV-50kV)",2024-10-01 06:00:00+00:00,2014-01-01 08:00:00+00:00,539f6a8eec4f024411ec912f,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option A (2kV-50kV)",2014-01-01 08:00:00+00:00,True,10.746064339493497,0.07705977986532409,False,10.746064339493497,included,ok
539f6a8fec4f024411ec9173,"Time-of-use - General Service - Demand Metered: TOU-GS-3, Option R (At 220kV)",Southern California Edison Co,675099c18eb34159210ca42f,"Time-of-use - General Service - Demand Metered: TOU-GS-3, Option R (At 220kV)",2024-10-01 06:00:00+00:00,2014-01-01 13:00:00+00:00,539f6a8fec4f024411ec9173,"Time-of-use - General Service - Demand Metered: TOU-GS-3, Option R (at 220kV)",2014-01-01 13:00:00+00:00,True,10.746064339493497,0.11606144125427065,False,10.746064339493497,included,ok
539f6a9eec4f024411ec9215,Schedule FO Farm Service - Irrigation Pumping (on Season),Turlock Irrigation District,539f6a9eec4f024411ec9215,Schedule FO Farm Service - Irrigation Pumping (on Season),2009-02-01 13:00:00+00:00,2009-02-01 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6adbec4f024411ec954f,General Service Time-of-use Electric Vehicle Charging - Demand Metered:TOU-EV-4 (2kV - 50 kV),Southern California Edison Co,539f6adbec4f024411ec954f,General Service Time-of-use Electric Vehicle Charging - Demand Metered:TOU-EV-4 (2kV - 50 kV),2014-01-01 13:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6aeaec4f024411ec9613,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (At 220kV)",Southern California Edison Co,675350e0043c8610d60b0fe9,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (At 220kV)",2024-10-01 06:00:00+00:00,2014-01-29 13:00:00+00:00,539f6aeaec4f024411ec9613,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Three Phase (At 220kV)",2014-01-29 13:00:00+00:00,False,10.669404517453799,0.05586123612860883,False,10.669404517453799,included,ok
539f6b07ec4f024411ec9745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 201 - 400 Watt,Modesto Irrigation District,5b28327c5457a34f77e5d862,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 201 - 400 Watt,2017-09-01 07:00:00+00:00,2013-04-01 13:00:00+00:00,,,,,,,False,4.41615331964408,excluded,only 4.4 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6b07ec4f024411ec979d,"Time-Of-Use Agricultural and Pumping-Small to Medium: TOU-PA-2, Option CPP (50kV-220kV)",Southern California Edison Co,56be19b65457a32e338b4569,"Time-Of-Use Agricultural and Pumping-Small to Medium: TOU-PA-2, Option CPP (50kV-220kV)",2016-01-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,1.995893223819302,excluded,only 2.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
